rad,str,cp,char
6,3,131346,𠄒
6,3,131347,𠄓
6,3,131348,𠄔
6,3,196690,𰁒
6,5,20105,争
6,5,131113,𠀩
6,5,131349,𠄕
6,5,184121,𬼹
6,6,20106,亊
6,6,131350,𠄖
6,6,131351,𠄗
6,6,131352,𠄘
6,6,173852,𪜜
6,7,13352,㐨
6,7,20107,事
6,7,131353,𠄙
6,7,184122,𬼺
6,7,205825,𲐁
6,10,131354,𠄚
6,10,196691,𰁓
6,10,196692,𰁔
6,11,131355,𠄛
6,11,173853,𪜝
6,12,184123,𬼻
6,14,131356,𠄜
6,14,201617,𱎑
6,15,131357,𠄝
6,18,184124,𬼼
7,0,20108,二
7,0,131358,𠄞
7,0,131359,𠄟
7,0,131360,𠄠
7,1,20109,亍
7,1,20110,于
7,1,20111,亏
7,1,184125,𬼽
7,2,20113,云
7,2,20114,互
7,2,20115,亓
7,2,20116,五
7,2,20117,井
7,2,20118,亖
7,2,131361,𠄡
7,2,196693,𰁕
7,3,20119,亗
7,3,196694,𰁖
7,3,205826,𲐂
7,4,20120,亘
7,4,20121,亙
7,4,20122,亚
7,4,131362,𠄢
7,4,131363,𠄣
7,4,131364,𠄤
7,4,131365,𠄥
7,4,131366,𠄦
7,4,131367,𠄧
7,4,178289,𫡱
7,4,194563,𠄢
7,4,196695,𰁗
7,5,20123,些
7,5,20124,亜
7,5,131109,𠀥
7,5,131368,𠄨
7,5,131369,𠄩
7,5,131370,𠄪
7,5,178290,𫡲
7,6,13353,㐩
7,6,20125,亝
7,6,20126,亞
7,6,20127,亟
7,6,131371,𠄫
7,6,131372,𠄬
7,6,131373,𠄭
7,6,131374,𠄮
7,6,131375,𠄯
7,6,178291,𫡳
7,6,184126,𬼾
7,6,201618,𱎒
7,6,205827,𲐃
7,6,205828,𲐄
7,6,205829,𲐅
7,7,131376,𠄰
7,7,131377,𠄱
7,7,131378,𠄲
7,7,131379,𠄳
7,7,184127,𬼿
7,7,184128,𬽀
7,7,196696,𰁘
7,8,131381,𠄵
7,8,131382,𠄶
7,8,131383,𠄷
7,8,131384,𠄸
7,8,184129,𬽁
7,8,201619,𱎓
7,8,201620,𱎔
7,8,205830,𲐆
7,9,131385,𠄹
7,9,131386,𠄺
7,9,178292,𫡴
7,9,205831,𲐇
7,10,131387,𠄻
7,10,184130,𬽂
7,10,205832,𲐈
7,11,131388,𠄼
7,11,131389,𠄽
7,11,131390,𠄾
7,11,178293,𫡵
7,11,178294,𫡶
7,11,196697,𰁙
7,11,201621,𱎕
7,11,201622,𱎖
7,11,205833,𲐉
7,12,131391,𠄿
7,12,173854,𪜞
7,12,178295,𫡷
7,12,196698,𰁚
7,12,201623,𱎗
7,12,205834,𲐊
7,13,131392,𠅀
7,13,173855,𪜟
7,13,196699,𰁛
7,13,205835,𲐋
7,14,178296,𫡸
7,14,178297,𫡹
8,0,20128,亠
8,1,20129,亡
8,2,20130,亢
8,2,20131,亣
8,2,131393,𠅁
8,3,131394,𠅂
8,3,173856,𪜠
8,3,173857,𪜡
8,3,184131,𬽃
8,4,13354,㐪
8,4,13355,㐫
8,4,20132,交
8,4,20133,亥
8,4,20134,亦
8,4,20135,产
8,4,131395,𠅃
8,4,131396,𠅄
8,4,131397,𠅅
8,4,131398,𠅆
8,4,131399,𠅇
8,4,177989,𫝅
8,4,183972,𬺤
8,4,184132,𬽄
8,4,196700,𰁜
8,4,205836,𲐌
8,5,13356,㐬
8,5,20136,亨
8,5,20137,亩
8,5,20138,亪
8,5,131400,𠅈
8,5,131401,𠅉
8,5,131402,𠅊
8,5,131403,𠅋
8,5,173858,𪜢
8,5,178298,𫡺
8,5,184133,𬽅
8,5,184134,𬽆
8,5,184135,𬽇
8,6,13357,㐭
8,6,20139,享
8,6,20140,京
8,6,131404,𠅌
8,6,131405,𠅍
8,6,131406,𠅎
8,6,131407,𠅏
8,6,131408,𠅐
8,6,131409,𠅑
8,6,131410,𠅒
8,6,183973,𬺥
8,6,184136,𬽈
8,6,184137,𬽉
8,7,20141,亭
8,7,20142,亮
8,7,20143,亯
8,7,20144,亰
8,7,20145,亱
8,7,20146,亲
8,7,63863,亮
8,7,131411,𠅓
8,7,131412,𠅔
8,7,131413,𠅕
8,7,184138,𬽊
8,7,184139,𬽋
8,7,184140,𬽌
8,8,20147,亳
8,8,131414,𠅖
8,8,131416,𠅘
8,8,131417,𠅙
8,8,131418,𠅚
8,8,131419,𠅛
8,8,131420,𠅜
8,8,131421,𠅝
8,8,178299,𫡻
8,8,184141,𬽍
8,8,201624,𱎘
8,9,131422,𠅞
8,9,131423,𠅟
8,9,131424,𠅠
8,9,131425,𠅡
8,9,131426,𠅢
8,9,131427,𠅣
8,9,131428,𠅤
8,9,131429,𠅥
8,9,131430,𠅦
8,9,131431,𠅧
8,9,173859,𪜣
8,9,183974,𬺦
8,9,184142,𬽎
8,9,184143,𬽏
8,9,184144,𬽐
8,9,184145,𬽑
8,9,184146,𬽒
8,9,196701,𰁝
8,9,205837,𲐍
8,9,205838,𲐎
8,10,20148,亴
8,10,20149,亵
8,10,131432,𠅨
8,10,131433,𠅩
8,10,131434,𠅪
8,10,131435,𠅫
8,10,131436,𠅬
8,10,131437,𠅭
8,10,131438,𠅮
8,10,131439,𠅯
8,10,131442,𠅲
8,10,173860,𪜤
8,10,178300,𫡼
8,10,184147,𬽓
8,10,184148,𬽔
8,10,196702,𰁞
8,10,196703,𰁟
8,10,205839,𲐏
8,10,205840,𲐐
8,11,13358,㐮
8,11,20150,亶
8,11,20151,亷
8,11,131443,𠅳
8,11,131444,𠅴
8,11,131445,𠅵
8,11,131446,𠅶
8,11,131447,𠅷
8,11,131448,𠅸
8,11,131450,𠅺
8,11,131451,𠅻
8,11,131452,𠅼
8,11,131456,𠆀
8,11,178301,𫡽
8,11,178302,𫡾
8,11,184149,𬽕
8,11,184150,𬽖
8,11,184151,𬽗
8,11,184152,𬽘
8,11,205841,𲐑
8,12,131454,𠅾
8,12,131455,𠅿
8,12,178303,𫡿
8,12,178304,𫢀
8,12,191475,𮯳
8,13,131457,𠆁
8,13,131458,𠆂
8,13,131459,𠆃
8,13,131460,𠆄
8,13,131461,𠆅
